Venue,Type,,Location,Postcode,Latitude,Longitude,Bedrooms
Aaron Guest House,Guest House,85 Glasgow Road,Perth,PH2 0PQ,56.39496,-3.44993,
Achnacarry Guest House,Guest House,3 Pitcullen Crescent,Perth,PH2 7HT,56.40423,-3.42197,4
Ackinnoull Guest House,Guest House,5 Pitcullen Crescent,Perth,PH2 7HT,56.40442,-3.42188,4
Adam Guest House,Guest House,6 Pitcullen Crescent,Perth,PH2 7HT,56.40453,-3.42182,4
Albert Villa Guest House,Guest House,63 Dunkeld Road,Perth,PH1 5RP,56.40311,-3.44121,10
Alexander Residence,Self Catering ,2 Barossa Place,Perth,PH1 5HG,56.40099,-3.43312,
Almond Villa Guest House,Guest House,51 Dunkeld Road,Perth,PH1 5RP,56.40259,-3.44059,5
Ardfern Guest House,Guest House,15 Pitcullen Crescent,Perth,PH2 7HT,56.40528,-3.42142,3
Arisaig Guest House,Guest House,15 Pitcullen Crescent,Perth,,56.40418,-3.42166,
Auld Manse Guest House,Guest House,Strathmore Street,Perth,PH2 7HP,56.40422,-3.42127,
Ballabeg Guest House,Bed and Breakfast,14 Keir Street,Perth,PH2 7HJ,56.40366,-3.42230,4
Beeches Guest House,Guest House,2 Comely Bank,Perth,,56.40382,-3.42088,
Beechgrove Guest House,Guest House,Dundee Road,Perth,PH2 7AQ,56.39435,-3.42033,7
Best Western Lovat Hotel,Hotel,Glasgow Road,Perth,PH2 0LT,56.39328,-3.45066,30
Best Western Queens Hotel,Hotel,105 Leonard Street,Perth,PH2 8HB,56.39288,-3.43717,51
Cherrybank Guest House,Guest House,,Perth,PH2 0NB,56.38729,-3.45963,5
Clifton House,Guest House,36 Glasgow Road,Perth,PH2 0PB,56.39564,-3.44791,4
Clunie Guest House,Guest House,,Perth,PH2 7HT,56.40499,-3.42181,7
Comely Bank Cottage,Guest House,19 Pitcullen Crescent,Perth,,56.40413,-3.42162,
Dalvey Bed and Breakfast,Bed and Breakfast,,Perth,PH1 5RP,56.40277,-3.44090,4
Dunallan Guest House,Guest House,10 Pitcullen Crescent,Perth,PH2 7TH,56.40479,-3.42150,7
Grampian Hotel,Small Hotel,37 York Place,Perth,PH2 8EH,56.39570,-3.43943,12
Halton House ,Bed and Breakfast,11 Tullylumb Terrace,Perth,PH1 1BA,56.39471,-3.45213,
Hazeldene Guest House,Guest House,,Perth,PH2 7HP,56.40284,-3.42189,5
Heidl Guest House,Guest House,43 York Place,Perth,PH2 8EH,56.39566,-3.43979,8
Helensville,Bed and Breakfast,,Perth,PH2 7HT,56.40400,-3.42205,2
Holiday Inn Express Perth,Budget Hotel,200 Dunkeld Road,Perth,PH1 3AQ,56.41626,-3.46216,81
