Event Date(s)*,End Date,Event Title (Max 100 Characters)*,Category*,Perth City,Teaser Description,Main Description,Venue address*,Venue Website,Start Time,End Time,Ticket Prices
03/09/2016,,Perth Georgian Festival,Heritage and Outdoor,Yes,Outdoor festival of all things Georgian.,"Come along to Perth Museum and Art Gallery to experience a taste of Georgian times in Britain.  There will be activities for children and adults from puppet making, fox’s tea party and a town crier to a guided tour of Perth’s own Georgian buildings.","Perth Museum and Art Gallery, Perth",,1200,1600,Free
03/09/2016,,Perth Farmers Market,Shopping and Markets,Yes,Farmers market with between 45-50 stalls selling a range of quality local produce,"The market has between 45 – 50 stalls selling a range of local seasonal produce including fresh meat; fruit & vegetables; seafood; oils dressings & preserves; dairy products; home baking; wine ale & spirits and confectionary. To enhance the experience for shoppers we invite guest stallholders to join the market on an occasional basis so that we are able to offer a greater range of goods such as chocolate, coffee or whisky. One off stalls are available to local businesses to promote their products or services, which give customers the opportunity to find out what is available in the local area such as hotels or tourist attractions or to obtain information about a particular subject such a recycling. Charities can also have a stall to sell tickets, give out information or collect funds","King Edward Street, Perth",http://www.perthfarmersmarket.co.uk ,,,Free
03/09/2016,,Breaemar Day,Community Event,No,Community Fun Day,"Community event comprising of a Street Market, Entertainment and Side Shows","Wellmeadow Park, Blairgowrie",,1330,2100,Free
03/09/2016,11/09/2016,Perthshire Open Studios,Arts and Cultural,No,Arts and crafts event where Perth and Kinross artists and craft makers open up work spaces to public,"This annual 9 day event, now in its 8th year, involves artists and craft makers across Perthshire and Kinross-Shire opening up their work spaces: studios, garages, kitchens, etc., to the public. Last year over 230 artists took part in 138 venues, with over 15,000 visitors enjoying the unique opportunity to gain an insight into the skills and the labour behind some amazing works of art and craft and to experience firsthand the environment that inspires such creativity.  Two 'Taster' exhibitions will be held at The Bield at Blackruthven and at the Pitlochry Festival Theatre from 28 August, throughout the event.   A full coloured brochure and a dynamic and informative website www.perthshireopenstudios.com are available to guide visitors along coloured routes across the region, taking in some of the finest scenery in the UK. 

",Perth & Kinross ,http://www.perthshireopenstudios.com/,Various,Various,Free
05/09/2016,,Horse Racing : Scotland Food & Drink Festival Day 1,Food and Drink,No,Scotland's Year of Food & Drink has inspired a BIG culinary celebration to create an unforgettably tasty day!,"This award-winning racecourse never fails to deliver on its thrilling jump racing and with both a day and an evening event themed around food and drink, they're using their renowned reputation for a party to celebrate the Year of Food and Drink with two days of culinary inspired racing. Perth Farmers' Market The fantastic Perth Farmers' Market will be there for both the day and evening meetings and will play host to some of the area's favourite producers. Be sure to pack an extra wee bag! #SmallCityRecipes joins the first September raceday for a culinary celebration of Scotland’s food and drink.  We'll be joined by some of Perthshire's best loved chefs, providing tasters from some foodie favourites, and as if that's not enough foodie pleasure.",Scone Racecourse,https://www.perth-races.co.uk/,1200,1640,Prices Vary - See Website
06/09/2016,,Horse Racing : Scotland Food & Drink Festival Day 2,Food and Drink,No,"The twilight race meeting carries on the theme, as Perth Farmers Market tempts you in with some wonderful local produce. Come along after work and you'll find a fantastic, food lovers","This award-winning racecourse never fails to deliver on its thrilling jump racing and with both a day and an evening event themed around food and drink, they're using their renowned reputation for a party to celebrate the Year of Food and Drink with two days of culinary inspired racing.  Perth Farmers' Market The fantastic Perth Farmers' Market will be there for both the day and evening meetings and will play host to some of the area's favourite producers. Be sure to pack an extra wee bag! #SmallCityRecipes joins the first September raceday for a culinary celebration of Scotland’s food and drink.  We'll be joined by some of Perthshire's best loved chefs, providing tasters from some foodie favourites, and as if that's not enough foodie pleasure.",Scone Racecourse,https://www.perth-races.co.uk/,1430,1940,Prices Vary - See Website
10/09/2016,,Pitlochry Highland Games,Heritage and Outdoor,No,Highland Games,"Pitlochry Highland Games has been hosting competitors and enthralling spectators since 1852.

Pitlochry Highland Games hosts a number of competitions
including Pipe Band Championships, Tug o'War, Highland Dancing, Cycling Events and many more.",Pitlochry Recreation Ground,http://www.pitlochryhighlandgames.co.uk/,1030,1600,"Adults £8, Children £2, Car Parking £2"
10/09/2016,25/09/2016,Ideal Hut Show,Arts and Cultural,Yes,"Open-air installation consisting of 18 off-the-shelf garden sheds reinvented by architects and designers from home and abroad. In partnership with the Festival of Architecture | Part of Scotland's Year of Innovation, Architecture and Design ","The Ideal Hut Show will feature 18 standard model garden sheds transformed by leading architects, artists and designers from Scotland and abroad.
The Perth stage of the Scottish Tour will see an additional shed designed by leading fashion and urban designer, Wayne Hemmingway.
Be entertained in King Edward Street & High Street, Perth from Saturday 10 September 2016 to Sunday 25 September 2016 (inclusive). The Ideal Hut Show is part of the Festival of Architecture 2016.

","King Edward Street & High Street,Perth",https://www.foa2016.com/events/2016-september-10-the-ideal-hut-show-perth,,,Free
11/09/2016,,Farming yesteryear,Heritage and Outdoor,No,"Scottish Vintage Tractor and Engine Club Farming Yesteryear and Vintage Rally 


","Vintage tractors, stationary engines, steam engines and agricultural machinery will be on display together with vintage cars, lorries and other vehicles. Working demonstrations of vintage agricultural machinery including ploughing, combining and threshing, plus trade stands and auto jumble. ",Scone Palace ,http://scone-palace.co.uk/whats-on/farming-yesteryear-vintage-rally,930,1700,"Adult £10
Children & Concession £5"
21/09/2016,,Horse Racing : Autumn Ladies Day,Sports and Activities,No,"Hold on to your hats, Autumn Ladies Day!","The Glorious Finale is our oldest racing fixture at Perth and what better way to celebrate the old than with something new? We know you all enjoy Ladies Day - so do we - and we are delighted to introduce to you the second Autumn Ladies Day! We want to see you in your finest country attire for this cooler time of year so slip on your country boots, your favourite modern tweed and stand out from the crowd to be the Best Modern Tweed Lady or Best Modern Tweed Man with a chance to WIN £1,000 sponsored by McEwens of Perth! Entries will open online minimum two weeks before the event for registering your place!",Scone Racecourse,https://www.perth-races.co.uk/,1200,1745,Prices Vary - See Website
22/09/2016,,Horse Racing : The Glorious Finale,Sports and Activities,No,"Say goodbye to the 2016 season with seven jump races, a huge party and celebrations of the season's highlights.","Goodbye until 2017! Our last meeting of the season is a twilight event rounded off with live music!, Seven thrilling jump races from some of our finest jockeys and horses, All your favourite regulars from Hog Roast to The Betting Ring, Live Music and Fun after racing. DON'T MISS IT! Or you'll be sad all winter long! ",Scone Racecourse,https://www.perth-races.co.uk/,1200,1730,Prices Vary - See Website
24/09/2016,25/09/2016,Perth & Kinross Doors Open Day,Heritage and Outdoor,No,"Free access to historic, civic and interesting buildings not usually open to the public","Doors Open Days give you free access to hundreds of fascinating buildings across Scotland. On the 24th and 25th of September, you can explore places in Perth and Kinross that are normally closed to the public. Some open up once a year, some just once in a lifetime. In Scotland’s Year of Architecture, this is your chance to discover the architecture, design, buildings, places and spaces right on your doorstep.",Perth & Kinross ,http://www.doorsopendays.org.uk/opendays/default.aspx,Various,Various,Free
30/09/2016,30/10/2016,The Enchanted Forest,Arts and Cultural,No,Perthshire Big Tree Country’s multi-award winning show fuses the creative talents of Kate Bonney and Simon Hayes (lighting designers) with RJ McConnell and Jon Beales (sound designers) to create an outdoor experience that will se,"With dazzling visuals and innovative design set against an original music score, including a new orchestral piece, explore the stunning autumn woodland setting of Faskally Wood near Pitlochry. Using the forest as a natural backdrop, you will experience a lighting show that is, quite simply, out of this world and will set your imagination alight. ",Faskally Wood,www.enchantedforest.org.uk,1730,2100,Varying Prices
01/10/2016,,Perth Farmers Market,Shopping and Markets,Yes,Farmers market with between 45-50 stalls selling a range of quality local produce,"The market has between 45 – 50 stalls selling a range of local seasonal produce including fresh meat; fruit & vegetables; seafood; oils dressings & preserves; dairy products; home baking; wine ale & spirits and confectionary. To enhance the experience for shoppers we invite guest stallholders to join the market on an occasional basis so that we are able to offer a greater range of goods such as chocolate, coffee or whisky. One off stalls are available to local businesses to promote their products or services, which give customers the opportunity to find out what is available in the local area such as hotels or tourist attractions or to obtain information about a particular subject such a recycling. Charities can also have a stall to sell tickets, give out information or collect funds","King Edward Street, Perth",http://www.perthfarmersmarket.co.uk ,0900 - 1400,,Free
07/10/2016,08/10/2016,BOOKMARK Festival,Arts and Cultural,No,2 day celebration of literature.,"Responding to a demand from a range of book groups in East Perthshire, BOOKMARK was born of a passion for literature in all its forms. Our aim now is to encourage readers and non-readers of all ages to explore the world of the imagination and travel where words and images take us.

'Books are a uniquely portable magic.' So says Steven King. BOOKMARK'S aim is to pass on that unique form of magic to our audiences. I'm sure all our authors appearing at BOOKMARK would agree wholeheartedly with this sentiment.

Here's to another happy, vibrant and magical BOOKMARK!",Blairgowrie,http://www.bookmarkblair.com/,,,Please see website
08/10/2016,,Fruit Festival,Heritage and Outdoor,Yes,Fruit Festival with fun family activities throughout the day.,"Come and celebrate the orchard harvest. Lots of fun things to see and do, including; making apple juice, foraging for wild food and cooking with fruit.","King Edwards Street, Perth",catriona.davies@pkht.org.uk ,1000,1600,Free
