Company Name,Times,Latitude,Longitude,Website
Abernyte Brewery,,56.47918,-3.20807,http://www.abernytebrewery.co.uk/
Active Kids Adventure Park,,56.48108,-3.46128,https://www.activekidsadventurepark.co.uk/
Alyth Museum,,56.62337,-3.2303,http://www.museumsgalleriesscotland.org.uk/member/alyth-museum
Atholl Adventures,,56.65014,-3.62704,http://www.atholladventureslimited.co.uk/
Atholl Palace Hotel,,56.70167,-3.71947,http://www.athollpalace.com/
Auchingarrich Wildlife Centre,,56.35296,-3.96457,http://www.auchingarrich.co.uk/
Ben Lawers National Nature Reserve,,56.46678,-4.31824,http://www.nts.org.uk/Property/Ben-Lawers-National-Nature-Reserve/
Big Tree Country,,56.50141,-3.51891,http://www.pkct.org/Pages/Category/perthshire-big-tree-country
Birnam Arts & Conference Centre,,56.55838,-3.57748,http://www.birnamarts.com/
Black Watch Castle and Museum,,56.40333,-3.43684,http://www.theblackwatch.co.uk/
Blair Castle/Atholl Estates,,56.76698,-3.84559,http://www.atholl-estates.co.uk/
Bolfracks Estate,,56.61399,-3.90787,http://www.bolfracks.com/
Branklyn Gardens,,56.38834,-3.41863,http://www.nts.org.uk/Property/Branklyn-Garden/
Cairn O'Mohr Ltd,,56.41398,-3.21752,http://www.cairnomohr.com/
Caithness Glass,,56.36166,-3.85058,https://www.caithnessglass.co.uk/
Crieff Visitor Centre,,56.36337,-3.85218,http://crieff.co.uk/
Cashmere at Loch Leven - Lochleven Mills,,56.19849,-3.42194,https://www.visitscotland.com/info/shopping/cashmere-at-lochleven-p232201
Comrie Croft Bikes,,56.3847,-3.94009,http://www.comriecroftbikes.co.uk/
Dewar's World of Whisky,,56.62426,-3.85083,http://www.dewars.com/
Do It Outdoors,,56.3516,-3.95722,http://www.doitoutdoors.co.uk/
Drummond Castle Gardens,,56.33963,-3.87055,http://www.drummondcastlegardens.co.uk/
Dunkeld Cathedral,,56.56516,-3.58884,http://www.dunkeldcathedral.org.uk/
Ecocamp Glenshee,,56.73034,-3.38104,http://www.ecocampglenshee.co.uk/
Edradour Distillery,,56.7019,-3.70084,http://www.edradour.com/
Elcho Castle,,56.3743,-3.35437,https://www.historicenvironment.scot/visit-a-place/places/elcho-castle/
Fergusson Gallery,,56.39216,-3.42632,https://www.perthcity.co.uk/places/the-fergusson-gallery/
Highland Chocolatier,,56.65781,-3.7749,https://www.highlandchocolatier.com/
Highland Fling (Bungee),,56.74292,-3.77205,https://www.bungeejumpscotland.co.uk/
highland safaris,,56.61718,-3.93746,https://www.highlandsafaris.net/
